AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202601,3201803,DIVINO DE SÃO LOURENÇO,32,ESPÍRITO SANTO,SE,SUDESTE,13638263.17,88997,7397709.45,5738,12903879.6,41200,6470811.17,18617,2654,214,2571,200
202502,3137502,LAGOA FORMOSA,31,MINAS GERAIS,SE,SUDESTE,77172856.75,231169,27852478.01,14672,71639220.91,134776,29042729.82,49778,9200,698,8884,656
202506,2600401,ÁGUA PRETA,26,PERNAMBUCO,NE,NORDESTE,65754210.52,562292,5826164.89,8019,61139502.21,358113,5919911.26,40030,14852,257,14830,227
202508,4310900,JACUTINGA,43,RIO GRANDE DO SUL,SU,SUL,8931855.41,35066,5868675.76,2087,7652098.67,16324,4217325.56,6397,1807,182,1627,180
202508,5005152,JUTI,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,23971567.93,147047,6980104.18,9736,22919778.44,72632,6178176.24,29633,3993,283,3889,263
202505,5008305,TRÊS LAGOAS,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,711401256.44,3601876,680762862.83,340671,710785607.95,2004959,610150197.58,2437032,91284,7558,90420,7200
202507,2501708,BARRA DE SÃO MIGUEL,25,PARAÍBA,NE,NORDESTE,18255069.17,115028,1357601.41,2537,17890734.28,73641,1254212.96,11338,3090,60,2968,59
202508,2210904,SOCORRO DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,11873946.17,91970,1452693.07,1698,10348309.51,52424,2393054.76,6663,2441,61,2399,53
202601,2505352,DAMIÃO,25,PARAÍBA,NE,NORDESTE,13212355.9,94192,2493073.66,2909,12173416.95,56020,2246168.81,14380,2712,120,2669,113
202602,5107800,SANTO ANTÔNIO DO LEVERGER,51,MATO GROSSO,CO,CENTRO-OESTE,51706298.33,366484,29417652.52,21812,53534480.18,205677,25017441.25,61787,9088,645,8922,596
202508,3147105,PARÁ DE MINAS,31,MINAS GERAIS,SE,SUDESTE,493415710.16,1953367,342414290.67,159673,491382023.0,1136967,299062171.74,536365,60350,6931,59714,6367
202504,5220454,SENADOR CANEDO,52,GOIÁS,CO,CENTRO-OESTE,642402639.47,3986627,874903849.95,314312,672131944.54,2501813,781824438.09,914176,92955,7597,93370,7008
202603,5101837,BOA ESPERANÇA DO NORTE,51,MATO GROSSO,CO,CENTRO-OESTE,422540.67,1499,3001054.83,2783,428463.65,1236,3714314.81,5358,76,111,74,106
