AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202603,3201803.0,DIVINO DE SÃO LOURENÇO,32.0,ESPÍRITO SANTO,SE,SUDESTE,8546432.87,48123,3643475.47,3002,8181638.92,23138,2981923.44,9592,2565,200,2376,182
202511,3137502.0,LAGOA FORMOSA,31.0,MINAS GERAIS,SE,SUDESTE,98209000.51,298513,31849331.16,18653,91594056.12,170130,44229242.21,63188,9917,782,9551,740
202511,2600401.0,ÁGUA PRETA,26.0,PERNAMBUCO,NE,NORDESTE,76726691.53,649798,6875163.33,9400,71065630.0,401561,6564005.38,51541,15289,281,15220,256
202501,4310900.0,JACUTINGA,43.0,RIO GRANDE DO SUL,SU,SUL,7288271.53,28666,3242013.11,2069,6552571.52,13209,3319477.55,5608,1748,174,1541,163
202509,5005152.0,JUTI,50.0,MATO GROSSO DO SUL,CO,CENTRO-OESTE,22956126.03,144276,7052313.0,9549,22113862.09,71732,7007765.48,27714,3997,280,3886,259
202502,5008305.0,TRÊS LAGOAS,50.0,MATO GROSSO DO SUL,CO,CENTRO-OESTE,633378161.57,3037031,577633217.06,302740,630284200.92,1693817,506874593.49,1660330,88777,7256,87337,6900
202509,2501708.0,BARRA DE SÃO MIGUEL,25.0,PARAÍBA,NE,NORDESTE,17773023.28,113537,1408139.99,2582,17254219.72,72990,1127054.04,13184,3122,64,2982,58
202501,2210904.0,SOCORRO DO PIAUÍ,22.0,PIAUÍ,NE,NORDESTE,9759333.1,77814,796754.33,1309,8016996.72,44124,1504473.76,4301,2361,51,2354,42
202501,2505352.0,DAMIÃO,25.0,PARAÍBA,NE,NORDESTE,9500586.07,76570,1526288.06,2229,8897991.38,50602,1187294.15,11084,2498,110,2478,100
202602,5107800.0,SANTO ANTÔNIO DO LEVERGER,51.0,MATO GROSSO,CO,CENTRO-OESTE,51706298.33,366484,29417652.52,21812,53534480.18,205677,25017441.25,61787,9088,645,8922,596
202508,3147105.0,PARÁ DE MINAS,31.0,MINAS GERAIS,SE,SUDESTE,493415710.16,1953367,342414290.67,159673,491382023.0,1136967,299062171.74,536365,60350,6931,59714,6367
202602,5220454.0,SENADOR CANEDO,52.0,GOIÁS,CO,CENTRO-OESTE,655039984.09,4133217,709249825.38,368863,679601420.77,2328002,717205170.27,1031877,98852,9167,98591,8659
202511,5101837.0,BOA ESPERANÇA DO NORTE,51.0,MATO GROSSO,CO,CENTRO-OESTE,230175.35,992,1419307.83,1489,212704.88,533,1404477.75,2341,40,46,36,48
202510,2701605.0,CANAPI,27.0,ALAGOAS,NE,NORDESTE,42374844.49,299847,5797394.89,7271,40383090.56,204956,6982590.34,36322,8857,125,8521,109
202512,4114351.0,MANFRINÓPOLIS,41.0,PARANÁ,SU,SUL,12355514.24,46474,7878495.7,3436,12802437.34,22435,10346856.61,18607,1358,119,1299,106
202505,2208601.0,PRATA DO PIAUÍ,22.0,PIAUÍ,NE,NORDESTE,6895985.46,71859,591114.82,1381,6086564.11,41763,761927.1,6043,1749,52,1715,47
202501,3302908.0,MIGUEL PEREIRA,33.0,RIO DE JANEIRO,SE,SUDESTE,94683731.56,524779,55905750.48,40749,92528459.26,319093,55401034.11,140509,18193,1351,17995,1281
202506,3104809.0,AUGUSTO DE LIMA,31.0,MINAS GERAIS,SE,SUDESTE,10988946.67,76200,4402668.77,4464,10837579.35,43061,4212491.91,17551,2495,136,2473,144
202511,2905008.0,CACULÉ,29.0,BAHIA,NE,NORDESTE,67847990.57,415425,68468546.98,37470,63298530.55,227666,67130408.74,204204,11981,1116,11714,1030
202502,3169109.0,TOLEDO,31.0,MINAS GERAIS,SE,SUDESTE,23528124.18,82820,8058881.02,7570,24050329.47,49815,9235500.99,23252,3494,330,3354,323
202509,3542305.0,REDENÇÃO DA SERRA,35.0,SÃO PAULO,SE,SUDESTE,9292839.08,64512,4972336.48,3539,9822586.09,42827,6297823.15,7976,2184,132,2154,117
202505,1716653.0,PEQUIZEIRO,17.0,TOCANTINS,NO,NORTE,20911921.9,100563,3444905.47,5725,19795560.82,60808,3556171.92,12798,2843,110,2805,98
202512,1707405.0,ESPERANTINA,17.0,TOCANTINS,NO,NORTE,27745920.5,216137,3983761.76,9459,26828179.91,126198,3368560.2,29703,5084,145,4958,136
202601,3132404.0,ITAJUBÁ,31.0,MINAS GERAIS,SE,SUDESTE,394540749.25,1880754,343335718.93,179741,386294058.59,1068576,329505918.42,474022,63230,6534,61658,6189
202507,2704708.0,MARECHAL DEODORO,27.0,ALAGOAS,NE,NORDESTE,245344929.49,1621509,188257251.59,95819,237935327.23,1044114,142917313.25,276056,36978,2149,36672,1951
202507,2914000.0,IPIRÁ,29.0,BAHIA,NE,NORDESTE,185389741.02,1063351,52525415.69,40278,184389881.66,729608,44476452.22,128927,30790,1398,30927,1268
202505,3506706.0,BOA ESPERANÇA DO SUL,35.0,SÃO PAULO,SE,SUDESTE,43401817.02,293763,18970131.51,16612,43326474.3,155917,21897639.95,54918,8246,498,8121,488
202511,2404200.0,GOIANINHA,24.0,RIO GRANDE DO NORTE,NE,NORDESTE,99319571.15,813974,84367015.94,40799,94372682.77,530791,93019981.82,152079,19042,866,18757,782
202505,2915908.0,ITANAGRA,29.0,BAHIA,NE,NORDESTE,19990901.99,187454,3880571.83,3809,18811239.26,112733,3077218.95,12079,4175,149,4113,151
202601,1502608.0,COLARES,15.0,PARÁ,NO,NORTE,31062529.11,382248,4096765.23,8241,28617437.27,241410,5070772.4,39127,7543,108,7232,99
202503,2917904.0,JANDAÍRA,29.0,BAHIA,NE,NORDESTE,25614893.4,186923,9636507.35,5876,23898397.43,113440,11190587.16,13172,5115,182,5143,164
202601,3201704.0,CONCEIÇÃO DO CASTELO,32.0,ESPÍRITO SANTO,SE,SUDESTE,46394513.07,229358,15752863.98,12369,50762959.35,111582,17760664.82,50103,7647,615,7275,575
202511,3138302.0,LEANDRO FERREIRA,31.0,MINAS GERAIS,SE,SUDESTE,17751362.01,64286,2499101.47,2197,17327678.19,47769,1759712.41,5653,1983,123,1948,106
202506,2204154.0,FRANCISCO MACEDO,22.0,PIAUÍ,NE,NORDESTE,8440894.43,50982,864502.91,788,7315951.93,33004,819180.59,5043,1509,41,1464,36
202502,2925105.0,POÇÕES,29.0,BAHIA,NE,NORDESTE,107395046.9,754159,33269769.02,36950,105768346.95,494294,36385705.01,118749,24634,1263,24806,1178
202601,3530607.0,MOGI DAS CRUZES,35.0,SÃO PAULO,SE,SUDESTE,2297268329.97,12421639,1932862770.79,1154791,2322933486.42,6631905,2145569797.58,2606761,331841,31274,324496,29729
202506,4302402.0,BOM RETIRO DO SUL,43.0,RIO GRANDE DO SUL,SU,SUL,35887516.18,205119,26729215.62,14014,34995584.14,104855,31275865.57,49419,7699,639,7173,625
202512,5105903.0,NOBRES,51.0,MATO GROSSO,CO,CENTRO-OESTE,96212696.75,541292,127284942.06,48334,94857621.26,280844,74965014.13,109624,11668,1059,11439,1023
202602,4318200.0,SÃO FRANCISCO DE PAULA,43.0,RIO GRANDE DO SUL,SU,SUL,74324611.58,385458,57435989.55,31593,76672529.53,186124,57144464.61,88870,13499,1259,13078,1203
202501,3512803.0,COSMÓPOLIS,35.0,SÃO PAULO,SE,SUDESTE,228067396.1,1272521,188363821.2,85047,225029181.47,719867,190688803.45,195471,40716,2739,40221,2593
202504,3105509.0,BARÃO DE MONTE ALTO,31.0,MINAS GERAIS,SE,SUDESTE,11549644.02,100318,3072742.08,2295,11115463.39,55287,2116562.17,7424,2750,119,2683,108
202512,4316477.0,SALVADOR DAS MISSÕES,43.0,RIO GRANDE DO SUL,SU,SUL,9440791.43,22910,16496430.62,3506,8607885.02,10444,15136017.73,7651,1366,165,1236,162
202504,3203809.0,MUQUI,32.0,ESPÍRITO SANTO,SE,SUDESTE,38473793.97,240885,11860233.28,15717,33851726.29,135761,13571807.2,54245,7871,485,7632,472
202508,4311122.0,JAQUIRANA,43.0,RIO GRANDE DO SUL,SU,SUL,8489084.84,50038,10985772.75,3616,7892201.69,24380,9811461.29,11612,2021,175,1909,175
